,_version_,content,content_raw,id,like,name,profile_image,retweet_count,time,tweet_image,category
541,1.56065E+18,RT @singapolitics: Leon Perera: CFE report lacks deep self-examination of why productivity drive unsuccessful and why birth rate continues?€?,RT @singapolitics: Leon Perera: CFE report lacks deep self-examination of why productivity drive unsuccessful and why birth rate continues?€?,8.36495E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[1],2017-02-28T08:34:53Z,no image,
440,1.56065E+18,"All eyes on Donald Trump's maiden speech to US Congress #donaldtrump
https://t.co/uvE0lrtaFY https://t.co/BqOnsykZrH","All eyes on Donald Trump's maiden speech to US Congress #donaldtrump
https://t.co/uvE0lrtaFY https://t.co/BqOnsykZrH",8.36758E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[1],2017-03-01T01:58:42Z,no image,
482,1.56065E+18,"Crowdfunding drive for Singaporean #IreneClennell deported from Britain raises more than $80,000?€? https://t.co/WtLgjx84Py","Crowdfunding drive for Singaporean #IreneClennell deported from Britain raises more than $80,000?€? https://t.co/WtLgjx84Py",8.36609E+17,7,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[8],2017-02-28T16:06:34Z,no image,
422,1.56065E+18,"Trump's new immigration order will remove Iraq from list of banned countries: Report   
https://t.co/RWAyk0WTb7","Trump's new immigration order will remove Iraq from list of banned countries: Report   
https://t.co/RWAyk0WTb7",8.36802E+17,5,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[10],2017-03-01T04:54:22Z,no image,
778,1.56065E+18,"Here are the main winners from the 2017 #Oscars 

trust us, we've double checked ????

https://t.co/mMRR2I4YLC https://t.co/QeWEcyzvAp","Here are the main winners from the 2017 #Oscars 

trust us, we've double checked ????

https://t.co/mMRR2I4YLC https://t.co/QeWEcyzvAp",8.36177E+17,1452,BBCWorld,https://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg,[913],2017-02-27T11:30:15Z,no image,
949,1.56065E+18,An official at Uber resigned after the company learned he was accused of sexual harassment while he worked at Google https://t.co/w0JfsQs1qc,An official at Uber resigned after the company learned he was accused of sexual harassment while he worked at Google https://t.co/w0JfsQs1qc,8.36444E+17,199,nytimes,https://pbs.twimg.com/profile_images/758384037589348352/KB3RFwFm_normal.jpg,[139],2017-02-28T05:11:06Z,no image,
334,1.56065E+18,"Apple?€?s next iPhone will have a curved screen?€?made by Samsung
https://t.co/hyhGVIHakp","Apple?€?s next iPhone will have a curved screen?€?made by Samsung
https://t.co/hyhGVIHakp",8.36547E+17,122,WSJ,https://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,[152],2017-02-28T12:02:09Z,no image,
576,1.56065E+18,RT @singapolitics: Kindergartens will be given one year from the commencement of the Act to obtain their licences as they are less familiar?€?,RT @singapolitics: Kindergartens will be given one year from the commencement of the Act to obtain their licences as they are less familiar?€?,8.3645E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[4],2017-02-28T05:35:57Z,no image,
934,1.56065E+18,"Geert Wilders, far-right icon, is one of Europe?€?s strangest politicians https://t.co/bCjQXpmTve","Geert Wilders, far-right icon, is one of Europe?€?s strangest politicians https://t.co/bCjQXpmTve",8.3649E+17,116,nytimes,https://pbs.twimg.com/profile_images/758384037589348352/KB3RFwFm_normal.jpg,[74],2017-02-28T08:16:05Z,no image,
567,1.56065E+18,RT @singapolitics: Darryl David: incentives should be given to mid-career switchers to attend conversion courses that induct them quickly i?€?,RT @singapolitics: Darryl David: incentives should be given to mid-career switchers to attend conversion courses that induct them quickly i?€?,8.3647E+17,0,STcom,https://pbs.twimg.com/profile_images/630988935720648704/HkmsHBTM_normal.jpg,[4],2017-02-28T06:54:25Z,no image,
